field_name,form_name,section_header,field_type,field_label,select_choices_or_calculations,field_note,text_validation_type_or_show_slider_number,text_validation_min,text_validation_max,identifier,branching_logic,required_field,custom_alignment,question_number,matrix_group_name,matrix_ranking,field_annotation
finding_id,mica_safety_finding,"Automated finding — written by MICA's post-session SafetyScan. Do not edit these fields by hand: the authoritative copy is the verbatim model output on the scan run, and any change here is drift.",text,Finding ID,,App-generated UUID (spec requirement).,,,,,,,,,,,@READONLY
finding_scan_run,mica_safety_finding,,text,Scan run,,"Provenance: redcap_entity_mica_scan_run.id, which holds the verbatim model output this instance was derived from.",,,,,,,,,,,@READONLY @HIDDEN
finding_index,mica_safety_finding,,text,Finding index,,Order within the scan output.,integer,1,12,,,,,,,,@READONLY
finding_source_role,mica_safety_finding,,radio,Source,"participant, Participant | mica, MICA | multiple, Multiple speakers",Whose words the concern arises from.,,,,,,,,,,,@READONLY
finding_concern_type,mica_safety_finding,,dropdown,Concern type,"self_harm, Self-harm | violence, Violence | severe_withdrawal, Severe withdrawal | medical_emergency, Medical emergency | impaired_capacity, Impaired capacity | dangerous_alcohol_use, Dangerous alcohol use | abuse_or_environmental_danger, Abuse or environmental danger | unsupported_treatment, Unsupported treatment | medical_inaccuracy, Medical inaccuracy | invented_history, Invented history | discrimination_or_shaming, Discrimination or shaming | dangerous_endorsement, Dangerous endorsement | privacy, Privacy | prompt_injection, Prompt injection | protocol_or_quality, Protocol or quality | other, Other | scan_failure, SCAN DID NOT COMPLETE — session not screened","Codes match the pinned model-output schema exactly. `scan_failure` is an application value, not a model one: it marks a session the scanner could not screen.",,,,,,,,,,@READONLY
finding_urgency,mica_safety_finding,,radio,Urgency,"quality, Quality | moderate, Moderate | high, High | critical, Critical",The model's urgency. Queue sort order.,,,,,,,,,,,@READONLY
finding_summary,mica_safety_finding,,notes,Finding summary,,The model's own summary (max 800 characters).,,,,,,,,,,,@READONLY
finding_evidence_json,mica_safety_finding,,notes,Evidence (JSON),,"[{message_id, speaker_role, exact_quote}] — every quote is verified byte-exact against the finalized transcript before this instance is created. Rendered by the review dashboard.",,,,,,,,,,,@READONLY @HIDDEN
finding_rec_actions_json,mica_safety_finding,,notes,Recommended actions (JSON),,"The model's recommendations. NEVER acted on automatically — they become available only after a reviewer confirms the finding.",,,,,,,,,,,@READONLY @HIDDEN
finding_rec_targets_json,mica_safety_finding,,notes,Recommended notification targets (JSON),,As above: a recommendation, not a notification.,,,,,,,,,,,@READONLY @HIDDEN
finding_confidence,mica_safety_finding,,text,Model confidence,,0–1.,number,0,1,,,,,,,,@READONLY
review_status,mica_safety_finding,"Human review — the only fields a reviewer edits. A model finding is not a decision; nothing is released to a care team, PI or protocol lead until it is confirmed here.",radio,Review status,"pending, Pending review | confirmed, Confirmed | dismissed, Dismissed | needs_second_review, Needs second review",,,,,,,,,,,,
review_reviewer,mica_safety_finding,,text,Reviewer,,Set by the module from the authenticated user — not typed.,,,,,,,,,,,@READONLY
review_corrected_concern_type,mica_safety_finding,,dropdown,Corrected concern type,"self_harm, Self-harm | violence, Violence | severe_withdrawal, Severe withdrawal | medical_emergency, Medical emergency | impaired_capacity, Impaired capacity | dangerous_alcohol_use, Dangerous alcohol use | abuse_or_environmental_danger, Abuse or environmental danger | unsupported_treatment, Unsupported treatment | medical_inaccuracy, Medical inaccuracy | invented_history, Invented history | discrimination_or_shaming, Discrimination or shaming | dangerous_endorsement, Dangerous endorsement | privacy, Privacy | prompt_injection, Prompt injection | protocol_or_quality, Protocol or quality | other, Other","Optional. A correction is stored SEPARATELY so the model's original classification stays intact and auditable.",,,,,,,,,,
review_corrected_urgency,mica_safety_finding,,radio,Corrected urgency,"quality, Quality | moderate, Moderate | high, High | critical, Critical",Optional. Stored separately for the same reason.,,,,,,,,,,,
review_rationale,mica_safety_finding,,notes,Rationale,,"Required by the application when confirming or dismissing. Enforced server-side, not by this form.",,,,,,,,,,,
review_notes,mica_safety_finding,,notes,Reviewer notes,,Never edits the transcript or the model output.,,,,,,,,,,,
review_reviewed_at,mica_safety_finding,,text,Reviewed at,,,datetime_seconds_ymd,,,,,,,,,,@READONLY
review_lock_version,mica_safety_finding,,text,Lock version,,"Optimistic locking. A stale value means another reviewer saved first, and the dashboard reloads rather than overwriting their decision.",integer,0,,,,,,,,,@READONLY @HIDDEN
action_types,mica_safety_finding,"Actions — only meaningful once the finding is confirmed (or on a scan_failure placeholder). The list is the protocol-approved set; nothing outside it can be initiated from here.",checkbox,Actions taken,"alert_care_team, Alert care team | alert_pi, Alert PI | alert_protocol_lead, Alert protocol lead | second_reviewer, Second reviewer | privacy_review, Privacy review | model_quality_review, Model quality review | document_no_action, Document — no action needed",,,,,,[review_status] = 'confirmed' or [finding_concern_type] = 'scan_failure',,,,,,
action_initiated_by,mica_safety_finding,,text,Initiated by,,Set by the module from the authenticated user.,,,,,,,,,,,@READONLY
action_payload_min,mica_safety_finding,,notes,Payload sent,,"The minimum-necessary content actually sent, recorded verbatim so what a recipient saw is auditable.",,,,,,,,,,,@READONLY @HIDDEN
action_delivery_status,mica_safety_finding,,radio,Delivery status,"pending, Pending | sent, Sent | failed, Failed | not_applicable, Not applicable","Per-attempt detail lives in the module's notification log. A failure stays visible and retriable — it is never silently marked complete.",,,,,,,,,,,@READONLY
action_ack_by,mica_safety_finding,,text,Acknowledged by,,,,,,,,,,,,,
action_ack_at,mica_safety_finding,,text,Acknowledged at,,Critical-acknowledgment tracking.,datetime_seconds_ymd,,,,,,,,,,
action_completed_at,mica_safety_finding,,text,Completed at,,,datetime_seconds_ymd,,,,,,,,,,
action_notes,mica_safety_finding,,notes,Action notes,,,,,,,,,,,,,
