alert-unique-id,alert-title,alert-trigger,unique-form-name,unique-event-name,saved-with-form-status,alert-condition,ensure-logic-still-true,do-not-clear-recurrences,alert-stop-type,send-on,send-on-next-day-type,send-on-next-time,send-on-time-lag-days,send-on-time-lag-hours,send-on-time-lag-minutes,send-on-field-after,send-on-field,send-on-date,alert-send-how-many,every-time-type,repeat-for,repeat-for-units,repeat-for-max,alert-expiration,alert-type,email-from-display,email-from,email-to,email-cc,email-bcc,email-failed,email-subject,alert-message,prevent-piping-identifiers,file-upload-fields,phone-number-to,alert-deactivated,sendgrid-template-id,sendgrid-template-data,sendgrid-mail-send-configuration
,01 Phone check - passcode by SMS,SUBMIT-LOGIC,baseline1,,COMPLETE,([event-name]='day_1_ed_arm_1' or [event-name]='day_1_ed_arm_2' or [event-name]='day_1_ed_arm_3') and [consent_complete]='2' and [baseline1_complete]='2' and [phonen]<>'' and [calcrnd]<>'' and [study_withdrawn(1)]<>'1' and [sms_stop(1)]<>'1',N,N,RECORD,NOW,,,,,,after,,,ONCE,,,DAYS,,,SMS,MICA Study,ihab.zeedia@stanford.edu,,,,,MICA passcode,MICA: your verification passcode is [calcrnd]. Enter it on the Check Code form to confirm this is the right phone number.,Y,,[phonen],Y,,,
,02 MICA ED session 1-week reminder (email),LOGIC,,,COMPLETE,([event-name]='day_1_ed_arm_2' or [event-name]='day_1_ed_arm_3') and [randomization_date]<>'' and [mica_ed_session_complete]<>'2' and [email]<>'' and ([choice_fup_delivery(1)]='1' and [choice_fup_delivery(2)]<>'1') and [study_withdrawn(1)]<>'1',Y,N,RECORD_EVENT,TIME_LAG,,,7,0,0,after,[randomization_date],,ONCE,,,DAYS,,,EMAIL,MICA Study,ihab.zeedia@stanford.edu,[email],,,,Your MICA session is waiting for you,"<p>Hi [first_name],</p><p>Your MICA session is ready and takes about 20 minutes.</p><p>[survey-link:mica_ed_session:Open your MICA session]</p><p>If you have questions, reply to this email.</p><p>&mdash; The MICA Study Team</p>",Y,,,Y,,,
,03 MICA ED session 1-week reminder (SMS),LOGIC,,,COMPLETE,([event-name]='day_1_ed_arm_2' or [event-name]='day_1_ed_arm_3') and [randomization_date]<>'' and [mica_ed_session_complete]<>'2' and [phonen]<>'' and ([choice_fup_delivery(2)]='1' or ([choice_fup_delivery(1)]<>'1' and [choice_fup_delivery(2)]<>'1')) and [study_withdrawn(1)]<>'1' and [sms_stop(1)]<>'1',Y,N,RECORD_EVENT,TIME_LAG,,,7,0,0,after,[randomization_date],,ONCE,,,DAYS,,,SMS,MICA Study,ihab.zeedia@stanford.edu,,,,,MICA session,"Hi [first_name], it's the MICA Team. Your MICA session is ready (about 20 min): [survey-url:mica_ed_session] Reply STOP to opt out.",Y,,[phonen],Y,,,
,"04 CRC - call participant, MICA ED session still not done",LOGIC,,,COMPLETE,([event-name]='day_1_ed_arm_2' or [event-name]='day_1_ed_arm_3') and [randomization_date]<>'' and [mica_ed_session_complete]<>'2' and [study_withdrawn(1)]<>'1',Y,N,RECORD_EVENT,TIME_LAG,,,14,0,0,after,[randomization_date],,ONCE,,,DAYS,,,EMAIL,MICA Study,ihab.zeedia@stanford.edu,micastudy@stanford.edu,,,,MICA [record-name]: ED session not completed after 2 weeks - please call,<p>[form-link:admin:Open record [record-name] in REDCap]</p><p>Study group: [study_group] &middot; Randomized: [randomization_date]</p><ul><li>The participant has not completed the MICA ED session 14 days after randomization.</li><li>An automated reminder was sent on day 7.</li><li><b>Action: phone the participant.</b> Contact: [phonen] / [email]</li></ul>,N,,,Y,,,
,"05 MICA booster session reminder (email, arm 2)",LOGIC,,,COMPLETE,[event-name]='month_3_arm_2' and [mica_booster_session_complete]<>'2' and [day_1_ed_arm_2][randomization_date]<>'' and [day_1_ed_arm_2][email]<>'' and ([day_1_ed_arm_2][choice_fup_delivery(1)]='1' and [day_1_ed_arm_2][choice_fup_delivery(2)]<>'1') and [day_1_ed_arm_2][study_withdrawn(1)]<>'1',Y,N,RECORD_EVENT,TIME_LAG,,,92,0,0,after,[day_1_ed_arm_2][randomization_date],,ONCE,,,DAYS,,,EMAIL,MICA Study,ihab.zeedia@stanford.edu,[day_1_ed_arm_2][email],,,,Your MICA booster session is ready,"<p>Hi [day_1_ed_arm_2][first_name],</p><p>It's time for your 3-month MICA booster session.</p><p>[survey-link:mica_booster_session:Open your booster session]</p><p>&mdash; The MICA Study Team</p>",Y,,,Y,,,
,"06 MICA booster session reminder (SMS, arm 2)",LOGIC,,,COMPLETE,[event-name]='month_3_arm_2' and [mica_booster_session_complete]<>'2' and [day_1_ed_arm_2][randomization_date]<>'' and [day_1_ed_arm_2][phonen]<>'' and ([day_1_ed_arm_2][choice_fup_delivery(2)]='1' or ([day_1_ed_arm_2][choice_fup_delivery(1)]<>'1' and [day_1_ed_arm_2][choice_fup_delivery(2)]<>'1')) and [day_1_ed_arm_2][study_withdrawn(1)]<>'1' and [day_1_ed_arm_2][sms_stop(1)]<>'1',Y,N,RECORD_EVENT,TIME_LAG,,,92,0,0,after,[day_1_ed_arm_2][randomization_date],,ONCE,,,DAYS,,,SMS,MICA Study,ihab.zeedia@stanford.edu,,,,,MICA booster,"Hi [day_1_ed_arm_2][first_name], it's the MICA Team. Your 3-month booster session is ready: [survey-url:mica_booster_session] Reply STOP to opt out.",Y,,[day_1_ed_arm_2][phonen],Y,,,
,"07 MICA booster session 1-week reminder (email, arm 2)",LOGIC,,,COMPLETE,[event-name]='month_3_arm_2' and [mica_booster_session_complete]<>'2' and [day_1_ed_arm_2][randomization_date]<>'' and [day_1_ed_arm_2][email]<>'' and ([day_1_ed_arm_2][choice_fup_delivery(1)]='1' and [day_1_ed_arm_2][choice_fup_delivery(2)]<>'1') and [day_1_ed_arm_2][study_withdrawn(1)]<>'1',Y,N,RECORD_EVENT,TIME_LAG,,,98,0,0,after,[day_1_ed_arm_2][randomization_date],,ONCE,,,DAYS,,,EMAIL,MICA Study,ihab.zeedia@stanford.edu,[day_1_ed_arm_2][email],,,,Your MICA booster session is ready,"<p>Hi [day_1_ed_arm_2][first_name],</p><p>It's time for your 3-month MICA booster session.</p><p>[survey-link:mica_booster_session:Open your booster session]</p><p>&mdash; The MICA Study Team</p>",Y,,,Y,,,
,"08 MICA booster session 1-week reminder (SMS, arm 2)",LOGIC,,,COMPLETE,[event-name]='month_3_arm_2' and [mica_booster_session_complete]<>'2' and [day_1_ed_arm_2][randomization_date]<>'' and [day_1_ed_arm_2][phonen]<>'' and ([day_1_ed_arm_2][choice_fup_delivery(2)]='1' or ([day_1_ed_arm_2][choice_fup_delivery(1)]<>'1' and [day_1_ed_arm_2][choice_fup_delivery(2)]<>'1')) and [day_1_ed_arm_2][study_withdrawn(1)]<>'1' and [day_1_ed_arm_2][sms_stop(1)]<>'1',Y,N,RECORD_EVENT,TIME_LAG,,,98,0,0,after,[day_1_ed_arm_2][randomization_date],,ONCE,,,DAYS,,,SMS,MICA Study,ihab.zeedia@stanford.edu,,,,,MICA booster,"Hi [day_1_ed_arm_2][first_name], it's the MICA Team. Your 3-month booster session is ready: [survey-url:mica_booster_session] Reply STOP to opt out.",Y,,[day_1_ed_arm_2][phonen],Y,,,
,"09 CRC - call participant, MICA booster not done (arm 2)",LOGIC,,,COMPLETE,[event-name]='month_3_arm_2' and [mica_booster_session_complete]<>'2' and [day_1_ed_arm_2][randomization_date]<>'' and [day_1_ed_arm_2][study_withdrawn(1)]<>'1',Y,N,RECORD_EVENT,TIME_LAG,,,105,0,0,after,[day_1_ed_arm_2][randomization_date],,ONCE,,,DAYS,,,EMAIL,MICA Study,ihab.zeedia@stanford.edu,micastudy@stanford.edu,,,,MICA [record-name]: booster session not completed - please call,"<p>[form-link:close:Open record [record-name] in REDCap]</p><p>Study group: [day_1_ed_arm_2][study_group] &middot; Randomized: [day_1_ed_arm_2][randomization_date]</p><ul><li>The participant has not completed the MICA booster session, now 14 days past the Month 3 target.</li><li>Automated reminders were sent on day 92 and day 98.</li><li><b>Action: phone the participant.</b> Contact: [day_1_ed_arm_2][phonen] / [day_1_ed_arm_2][email]</li></ul>",N,,,Y,,,
,"10 MICA booster session reminder (email, arm 3)",LOGIC,,,COMPLETE,[event-name]='month_3_arm_3' and [mica_booster_session_complete]<>'2' and [day_1_ed_arm_3][randomization_date]<>'' and [day_1_ed_arm_3][email]<>'' and ([day_1_ed_arm_3][choice_fup_delivery(1)]='1' and [day_1_ed_arm_3][choice_fup_delivery(2)]<>'1') and [day_1_ed_arm_3][study_withdrawn(1)]<>'1',Y,N,RECORD_EVENT,TIME_LAG,,,92,0,0,after,[day_1_ed_arm_3][randomization_date],,ONCE,,,DAYS,,,EMAIL,MICA Study,ihab.zeedia@stanford.edu,[day_1_ed_arm_3][email],,,,Your MICA booster session is ready,"<p>Hi [day_1_ed_arm_3][first_name],</p><p>It's time for your 3-month MICA booster session.</p><p>[survey-link:mica_booster_session:Open your booster session]</p><p>&mdash; The MICA Study Team</p>",Y,,,Y,,,
,"11 MICA booster session reminder (SMS, arm 3)",LOGIC,,,COMPLETE,[event-name]='month_3_arm_3' and [mica_booster_session_complete]<>'2' and [day_1_ed_arm_3][randomization_date]<>'' and [day_1_ed_arm_3][phonen]<>'' and ([day_1_ed_arm_3][choice_fup_delivery(2)]='1' or ([day_1_ed_arm_3][choice_fup_delivery(1)]<>'1' and [day_1_ed_arm_3][choice_fup_delivery(2)]<>'1')) and [day_1_ed_arm_3][study_withdrawn(1)]<>'1' and [day_1_ed_arm_3][sms_stop(1)]<>'1',Y,N,RECORD_EVENT,TIME_LAG,,,92,0,0,after,[day_1_ed_arm_3][randomization_date],,ONCE,,,DAYS,,,SMS,MICA Study,ihab.zeedia@stanford.edu,,,,,MICA booster,"Hi [day_1_ed_arm_3][first_name], it's the MICA Team. Your 3-month booster session is ready: [survey-url:mica_booster_session] Reply STOP to opt out.",Y,,[day_1_ed_arm_3][phonen],Y,,,
,"12 MICA booster session 1-week reminder (email, arm 3)",LOGIC,,,COMPLETE,[event-name]='month_3_arm_3' and [mica_booster_session_complete]<>'2' and [day_1_ed_arm_3][randomization_date]<>'' and [day_1_ed_arm_3][email]<>'' and ([day_1_ed_arm_3][choice_fup_delivery(1)]='1' and [day_1_ed_arm_3][choice_fup_delivery(2)]<>'1') and [day_1_ed_arm_3][study_withdrawn(1)]<>'1',Y,N,RECORD_EVENT,TIME_LAG,,,98,0,0,after,[day_1_ed_arm_3][randomization_date],,ONCE,,,DAYS,,,EMAIL,MICA Study,ihab.zeedia@stanford.edu,[day_1_ed_arm_3][email],,,,Your MICA booster session is ready,"<p>Hi [day_1_ed_arm_3][first_name],</p><p>It's time for your 3-month MICA booster session.</p><p>[survey-link:mica_booster_session:Open your booster session]</p><p>&mdash; The MICA Study Team</p>",Y,,,Y,,,
,"13 MICA booster session 1-week reminder (SMS, arm 3)",LOGIC,,,COMPLETE,[event-name]='month_3_arm_3' and [mica_booster_session_complete]<>'2' and [day_1_ed_arm_3][randomization_date]<>'' and [day_1_ed_arm_3][phonen]<>'' and ([day_1_ed_arm_3][choice_fup_delivery(2)]='1' or ([day_1_ed_arm_3][choice_fup_delivery(1)]<>'1' and [day_1_ed_arm_3][choice_fup_delivery(2)]<>'1')) and [day_1_ed_arm_3][study_withdrawn(1)]<>'1' and [day_1_ed_arm_3][sms_stop(1)]<>'1',Y,N,RECORD_EVENT,TIME_LAG,,,98,0,0,after,[day_1_ed_arm_3][randomization_date],,ONCE,,,DAYS,,,SMS,MICA Study,ihab.zeedia@stanford.edu,,,,,MICA booster,"Hi [day_1_ed_arm_3][first_name], it's the MICA Team. Your 3-month booster session is ready: [survey-url:mica_booster_session] Reply STOP to opt out.",Y,,[day_1_ed_arm_3][phonen],Y,,,
,"14 CRC - call participant, MICA booster not done (arm 3)",LOGIC,,,COMPLETE,[event-name]='month_3_arm_3' and [mica_booster_session_complete]<>'2' and [day_1_ed_arm_3][randomization_date]<>'' and [day_1_ed_arm_3][study_withdrawn(1)]<>'1',Y,N,RECORD_EVENT,TIME_LAG,,,105,0,0,after,[day_1_ed_arm_3][randomization_date],,ONCE,,,DAYS,,,EMAIL,MICA Study,ihab.zeedia@stanford.edu,micastudy@stanford.edu,,,,MICA [record-name]: booster session not completed - please call,"<p>[form-link:close:Open record [record-name] in REDCap]</p><p>Study group: [day_1_ed_arm_3][study_group] &middot; Randomized: [day_1_ed_arm_3][randomization_date]</p><ul><li>The participant has not completed the MICA booster session, now 14 days past the Month 3 target.</li><li>Automated reminders were sent on day 92 and day 98.</li><li><b>Action: phone the participant.</b> Contact: [day_1_ed_arm_3][phonen] / [day_1_ed_arm_3][email]</li></ul>",N,,,Y,,,
,15 Participant - signed consent PDF,SUBMIT-LOGIC,person_obtaining_consent,,COMPLETE,[consent_pdf]<>'' and [email]<>'',Y,N,RECORD_EVENT_INSTRUMENT_INSTANCE,NOW,,,,,,after,,,EVERY,EVERY,0,DAYS,,,EMAIL,MICA Study,ihab.zeedia@stanford.edu,[email],,,,Stanford Research Contact Information and Consent Form,"<p>Welcome to Stanford's MICA Research Study.</p><p>We have attached a copy of the consent form you signed. Please keep it for your records.</p><p>If you have any questions, reply to this email.</p><p>&mdash; The MICA Study Team</p>",Y,[consent_pdf],,Y,,,
,16 CRC - participant consented,SUBMIT-LOGIC,consent,,COMPLETE,([event-name]='day_1_ed_arm_1' or [event-name]='day_1_ed_arm_2' or [event-name]='day_1_ed_arm_3') and [consent_complete]='2',N,N,RECORD,NOW,,,,,,after,,,ONCE,,,DAYS,,,EMAIL,MICA Study,ihab.zeedia@stanford.edu,micastudy@stanford.edu,,,,MICA [record-name]: Consented,<p>[form-link:admin:Open record [record-name] in REDCap]</p><ul><li>Consent is complete. Sign Person Obtaining Consent and upload the signed PDF.</li></ul>,Y,,,Y,,,
,17 CRC - baseline complete,SUBMIT-LOGIC,close,,COMPLETE,([event-name]='day_1_ed_arm_1' or [event-name]='day_1_ed_arm_2' or [event-name]='day_1_ed_arm_3') and [close_complete]='2' and [baseline1_complete]='2',N,N,RECORD,NOW,,,,,,after,,,ONCE,,,DAYS,,,EMAIL,MICA Study,ihab.zeedia@stanford.edu,micastudy@stanford.edu,,,,MICA [record-name]: Baseline done,"<p>[form-link:admin:Open record [record-name] in REDCap]</p><ul><li>Enrollment and the baseline battery are complete.</li><li>Confirm the phone check passed (Check Code), then set <i>Is the participant ready to be randomized?</i> on the Admin form.</li></ul>",Y,,,Y,,,
